match_id,blue_win,blue_champ_1,blue_item_1_0,blue_item_1_1,blue_item_1_2,blue_item_1_3,blue_item_1_4,blue_item_1_5,blue_item_1_6,blue_champ_2,blue_item_2_0,blue_item_2_1,blue_item_2_2,blue_item_2_3,blue_item_2_4,blue_item_2_5,blue_item_2_6,blue_champ_3,blue_item_3_0,blue_item_3_1,blue_item_3_2,blue_item_3_3,blue_item_3_4,blue_item_3_5,blue_item_3_6,blue_champ_4,blue_item_4_0,blue_item_4_1,blue_item_4_2,blue_item_4_3,blue_item_4_4,blue_item_4_5,blue_item_4_6,blue_champ_5,blue_item_5_0,blue_item_5_1,blue_item_5_2,blue_item_5_3,blue_item_5_4,blue_item_5_5,blue_item_5_6,red_champ_1,red_item_1_0,red_item_1_1,red_item_1_2,red_item_1_3,red_item_1_4,red_item_1_5,red_item_1_6,red_champ_2,red_item_2_0,red_item_2_1,red_item_2_2,red_item_2_3,red_item_2_4,red_item_2_5,red_item_2_6,red_champ_3,red_item_3_0,red_item_3_1,red_item_3_2,red_item_3_3,red_item_3_4,red_item_3_5,red_item_3_6,red_champ_4,red_item_4_0,red_item_4_1,red_item_4_2,red_item_4_3,red_item_4_4,red_item_4_5,red_item_4_6,red_champ_5,red_item_5_0,red_item_5_1,red_item_5_2,red_item_5_3,red_item_5_4,red_item_5_5,red_item_5_6
EUW1_6859979556,1,126,3142,6692,3158,3042,6694,2021,3340,57,6664,3110,3075,3047,1057,1033,3364,112,3135,3020,3040,6653,3100,3089,3340,235,3142,3009,6701,3036,3094,1055,3340,69,1058,3040,3876,6653,4005,3165,3340,68,3020,3157,4645,6653,3089,3135,3340,32,6653,3068,3111,3075,3118,0,3340,157,3026,3006,3087,3031,3153,1057,3340,429,3085,3006,3124,3302,3153,1057,3340,111,3190,3075,3111,4401,3869,1033,3364
EUW1_6859880111,1,875,6631,1055,3181,3047,2021,1028,3340,141,3110,3071,3047,3053,1036,1029,3364,157,3006,1055,6672,3031,1018,1053,3340,67,1055,3153,3006,3078,3073,1043,3340,99,3157,2031,3871,3118,4646,3020,3364,6,3748,3071,3181,2504,3076,3047,3340,32,3075,1057,3068,3047,3211,0,3340,13,1056,6657,3020,3040,3135,1058,3340,360,1018,6676,3047,6673,1053,1038,3340,111,3869,2031,3047,3050,3109,1028,3364
EUW1_6859845791,0,106,1056,3067,1031,1028,0,0,3340,245,3100,1102,3020,3067,3145,0,3364,61,1056,3147,3040,3020,2022,1026,3340,22,1055,3006,2010,6672,1053,1043,3340,235,3009,3142,3877,3134,1036,0,3364,23,1055,3153,6672,3006,3133,0,3340,19,3748,0,3047,1043,1053,1037,3364,4,1056,3100,4646,0,3020,0,3340,895,6675,6676,2055,3006,0,0,3363,350,3870,3222,3504,2022,1004,2022,3364
EUW1_6859488618,1,223,1054,3084,3047,6664,3075,0,3340,154,3065,3068,3047,3076,1011,0,3340,98,1055,2031,3748,6664,3111,1031,3340,235,1055,3006,3142,6676,3094,0,3340,53,3869,3002,2031,3110,3024,3117,3340,86,1054,6631,3006,3084,3801,0,3363,141,6698,6697,3158,1036,1036,0,3364,74,3116,3157,2003,1001,1052,0,3363,51,1083,3006,3095,3094,0,0,3340,161,3871,6655,3020,3113,3145,0,3364
EUW1_6859461543,1,17,3118,4645,3116,3020,6653,3165,3340,141,6698,6697,6696,3158,6701,2021,3340,7,3157,3020,4646,4645,6655,1033,3340,21,6672,6676,3006,3072,3026,3031,3340,267,3871,3158,2065,3504,4005,6616,3364,24,3110,6610,3111,3078,3053,0,3340,121,3142,6694,3158,6701,3156,3026,3340,901,3094,3161,3009,6653,3072,4633,3340,498,3072,6675,3006,6672,3094,2019,3363,26,3871,3157,3020,3040,4646,3067,3364
EUW1_6858818250,1,31,3143,3068,3047,3075,0,0,3340,35,3158,6653,4629,0,0,0,3364,777,6673,3153,3006,3091,0,0,3340,21,1055,3142,3006,6694,6676,2020,3340,63,3871,3041,6653,3118,3020,4645,3364,122,1055,3111,3078,2021,1028,0,3340,141,6698,3158,1028,3044,1029,3133,3340,3,1056,6657,3111,6665,3113,0,3340,22,3031,6672,6673,0,3006,0,3340,147,3871,3040,2055,3116,0,1001,3364
EUW1_6858760156,0,2,6610,3074,6665,3073,3047,1043,3340,234,3078,6672,3111,3091,2021,0,3364,84,3157,3020,4645,4646,1058,1058,3340,67,1055,3153,3006,3124,2019,1038,3340,25,3871,3118,2010,6653,3116,0,3340,54,3110,6662,3075,3047,2504,0,3340,141,6698,3047,6697,3814,3035,0,3340,45,4646,6655,3040,3020,3089,1052,3363,22,1055,3302,6672,3006,3078,3086,3340,44,3876,3002,3065,3070,3067,3009,3364
EUW1_6858718048,1,79,1056,3068,3111,3121,3211,0,3340,245,3115,0,1082,3020,4645,4646,3364,4,3124,6672,3006,3153,1043,0,3340,22,3078,6672,1036,3006,1043,0,3340,101,3020,4646,3871,1058,1082,6655,3364,98,2022,6664,3111,1057,3211,1031,3340,141,6698,3155,6697,3158,1036,0,3340,157,1055,6672,3006,3031,1053,0,3340,51,3095,2015,3006,3086,1036,0,3363,99,3870,6655,3020,3145,0,0,3364
EUW1_6858618944,1,6,3181,3047,3053,3075,1033,1055,3340,141,6698,3142,0,6701,3158,3042,3340,166,6672,3091,3111,6676,3031,0,3340,18,1055,3094,6672,3006,3035,3031,3363,89,3190,3876,3050,1031,3047,3067,3364,122,1055,6631,3047,3742,6333,2021,3340,254,6610,3047,6333,1028,0,0,3340,103,3158,1056,3118,3100,1052,1052,3340,51,1043,1055,3006,3095,3094,1038,3340,99,6655,4646,3871,0,3020,0,3363
EUW1_6858558196,0,6,3181,3111,3071,3053,1033,1029,3340,19,3302,3006,3748,3153,1053,1018,3340,26,3158,3040,4629,6657,1082,0,3340,222,3035,6672,3006,3031,3094,1018,3340,53,3876,3110,1031,3002,3009,3067,3364,887,4633,3157,3047,3115,1056,4629,3340,106,3075,6610,3047,6662,1036,1036,3340,10,3115,3302,3089,3041,3006,6653,3363,51,3095,3006,3031,1055,3086,2015,3340,902,6617,3158,3870,6616,3070,3114,3364
EUW1_6858500448,0,75,1057,3158,3110,3078,3065,1031,3340,56,3071,3047,3073,2019,3133,0,3340,38,3100,6657,3020,3040,0,0,3340,202,3142,3009,6676,3094,3036,0,3363,25,3871,6653,3020,2055,4628,0,3364,86,3742,6631,3006,3078,3071,3076,3340,234,3091,2019,3026,3153,6672,3111,3340,69,3040,6657,3116,6653,0,0,3340,51,3124,1055,3087,3006,3085,1038,3340,117,3158,2065,3870,3504,6616,2055,3364
EUW1_6858488983,1,86,1054,2003,0,0,0,0,3340,56,1101,0,0,0,0,0,3340,45,1056,2003,2010,0,0,0,3340,429,1055,2003,0,0,0,0,3340,111,3865,2003,2010,0,0,0,3340,35,0,0,0,0,0,0,0,200,1101,2003,0,0,0,0,3340,63,1056,2003,2010,0,0,0,3340,51,2003,1055,0,0,0,0,3340,25,3865,0,0,0,0,0,3340
EUW1_6831760202,1,875,6631,3071,3153,1028,1055,0,3340,28,3100,3041,3020,1058,0,0,3340,3,1056,3152,3020,4646,3057,1052,3340,21,6676,1036,1036,0,3004,3006,3340,35,3158,6699,2031,3877,6694,0,3364,106,3047,2502,1056,3067,3211,0,3340,77,1102,6653,3047,1057,1028,0,3364,55,3100,2031,1052,0,1001,0,3340,51,3095,1083,3006,6676,0,0,3340,25,6653,1029,3876,3070,1052,0,3364
EUW1_7662229756,1,31,1054,3084,2502,3174,3068,0,3340,203,6676,3031,6672,3047,6670,0,3340,25,3157,2503,3175,1056,2508,3147,3340,202,1055,3031,1001,6676,0,0,3340,143,3020,1011,3871,1052,6653,0,3364,10,1055,3006,3153,6672,3051,1043,3340,19,2019,3153,6672,1036,2022,0,3340,131,3020,4646,4645,1052,0,0,3340,21,1055,3142,3009,6676,1036,1036,3340,37,3870,3070,6620,3158,4642,2055,3364
EUW1_7662189952,0,39,3153,3181,3091,3047,6333,0,3340,876,4633,6653,3157,3020,4401,0,3364,84,3152,2420,3089,3020,4645,1058,3364,51,3033,3157,6676,3006,3094,3031,3363,25,3871,3157,3009,6653,1058,3116,3364,92,6333,6696,3171,3071,3133,2021,3340,59,3065,6692,3173,6610,3110,3161,3364,131,3100,3157,4645,3089,3175,3135,3340,202,3142,3170,6676,3094,3031,3033,3340,63,3871,3020,3089,3135,2503,3802,3364
EUW1_7662161625,1,83,2031,3078,1054,3009,3066,2021,3363,28,4646,3175,3100,0,0,0,3340,69,3040,2031,0,6657,1011,1052,3340,29,1038,3032,1037,3006,1018,0,3363,26,3876,1052,2065,3070,3171,1026,3364,78,3121,1054,1001,6610,3057,1029,3340,35,3158,1052,1052,2503,1082,6653,3364,79,4629,6657,3158,3145,0,0,3340,202,6676,3031,1018,3144,3009,1042,3340,235,3071,3086,3009,3877,3144,0,3364
EUW1_7662112955,1,86,1054,3006,6631,3046,3071,1029,3340,11,3153,6672,3006,3124,2019,1036,3340,85,1056,6653,3157,3020,3041,1031,3340,119,1055,6676,3006,6697,3035,0,3340,902,0,6617,6620,3158,0,3870,3364,54,1056,3082,2055,3068,3047,3075,3340,107,3142,6698,3171,3814,1036,1036,3364,157,3006,3153,3046,1055,0,0,3340,21,1055,6696,6676,3006,3035,3123,3363,63,3871,3116,3020,2508,3147,0,3364
EUW1_7661666510,1,50,1056,3110,3047,3116,3147,2508,3340,24,6610,3047,3078,2019,1038,0,3340,101,1058,6655,4645,3020,4628,3135,3363,901,3158,3508,1038,3036,3161,3094,3340,43,3114,3870,3107,6617,1082,3158,3364,14,3075,6664,3173,2502,0,1011,3340,19,3065,6631,3111,3153,0,0,3364,134,2503,4629,3171,1058,1082,1058,3340,222,1055,6672,3006,3031,3035,3123,3363,223,3084,3876,2502,3111,3075,0,3364
EUW1_7661606113,0,114,1001,2031,3074,3078,0,0,3340,17,6653,3115,3020,3145,1058,0,3364,800,3145,2503,3158,4628,3089,1058,3340,222,1055,3006,3032,3031,3085,0,3340,80,3179,3877,6692,3013,0,0,3364,82,4633,3116,3174,3076,3065,1011,3340,56,3073,6631,6694,6696,3006,1036,3363,55,1082,3157,3100,3175,4645,1058,3340,21,1037,3033,6696,3006,6676,0,3363,267,3870,3171,6617,0,3504,3114,3364
EUW1_7660784371,0,131,1056,2420,3089,4645,3175,4646,3340,35,3171,3041,6676,2503,6653,1052,3364,10,1058,3100,3115,3009,1058,0,3340,29,3153,6676,2031,3172,3086,3144,3340,99,3089,4645,3020,0,2022,1027,3340,36,3084,3083,3009,3065,2502,1054,3340,517,3152,2420,3020,3089,4645,0,3364,45,3040,3158,6655,4646,1058,0,3340,222,6673,3085,6672,3006,3031,0,3363,412,3050,3190,3876,3110,3076,3009,3364
