match_id,blue_win,blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5
EUW1_6859979556,1,126,57,112,235,69,68,32,157,429,111
EUW1_6859880111,1,875,141,157,67,99,6,32,13,360,111
EUW1_6859845791,0,106,245,61,22,235,23,19,4,895,350
EUW1_6859488618,1,223,154,98,235,53,86,141,74,51,161
EUW1_6859461543,1,17,141,7,21,267,24,121,901,498,26
EUW1_6858818250,1,31,35,777,21,63,122,141,3,22,147
EUW1_6858760156,0,2,234,84,67,25,54,141,45,22,44
EUW1_6858718048,1,79,245,4,22,101,98,141,157,51,99
EUW1_6858618944,1,6,141,166,18,89,122,254,103,51,99
EUW1_6858558196,0,6,19,26,222,53,887,106,10,51,902
EUW1_6858500448,0,75,56,38,202,25,86,234,69,51,117
EUW1_6858488983,1,86,56,45,429,111,35,200,63,51,25
EUW1_6831760202,1,875,28,3,21,35,106,77,55,51,25
EUW1_7660784371,0,131,35,10,29,99,36,517,45,222,412
EUW1_7660220573,1,83,950,157,21,25,19,234,901,29,99
EUW1_7659368714,1,83,56,711,51,223,133,32,157,21,267
EUW1_7659295229,0,777,64,112,21,99,904,19,90,360,22
EUW1_7659251848,1,36,200,136,145,101,86,163,142,21,53
EUW1_7659198238,1,48,131,517,21,432,904,24,99,202,201
EUW1_7658931289,0,114,234,154,15,34,122,141,131,21,412
EUW1_7658727620,1,80,54,45,145,147,86,32,777,21,800
EUW1_7658682996,0,57,234,3,202,16,777,106,142,21,25
EUW1_7658640771,0,36,32,25,222,412,887,203,38,901,63
EUW1_7658581415,0,122,517,13,21,63,44,11,4,222,111
EUW1_7658542102,0,36,11,115,202,143,14,59,101,895,50
EUW1_7658121144,0,86,517,3,429,235,48,11,166,115,17
EUW1_7658082265,1,17,54,90,22,223,50,234,131,51,44
EUW1_7658041895,0,17,62,55,21,63,150,11,103,51,902
EUW1_7657989381,1,41,233,103,51,37,8,56,240,136,902
