blue_win,game_duration,blue_kills,blue_deaths,blue_assists,blue_gold,blue_gold_15,blue_towers,blue_dragons,blue_barons,blue_vision_score,red_kills,red_deaths,red_assists,red_gold,red_gold_15,red_towers,red_dragons,red_barons,red_vision_score,kill_diff,gold_diff,gold_diff_15,tower_diff,dragon_diff,source
0,10,9,6,11,17853.0,25815.0,0,0,0,30,6,9,8,15924.0,24850.5,0,0,0,21,3,643,964.5,0,0,kaggle
0,10,5,5,5,11804.0,22068.0,0,0,0,13,5,5,2,20528.0,26430.0,1,1,0,13,0,-2908,-4362.0,-1,-1,kaggle
0,10,7,11,4,14941.0,24169.5,0,1,0,15,11,7,14,18457.0,25927.5,0,0,0,18,-4,-1172,-1758.0,0,1,kaggle
0,10,4,5,5,13836.0,22735.5,0,0,0,44,5,4,10,17799.0,24717.0,0,0,0,17,-1,-1321,-1981.5,0,0,kaggle
0,10,6,6,6,15396.0,24600.0,0,0,0,79,6,6,7,18408.0,26106.0,0,1,0,19,0,-1004,-1506.0,0,-1,kaggle
1,10,5,3,6,16597.0,23848.5,0,1,0,18,3,5,2,14503.0,22801.5,0,0,0,41,2,698,1047.0,0,1,kaggle
1,10,7,6,7,19285.0,25311.0,0,1,0,21,6,7,9,12052.0,21694.5,0,0,0,58,1,2411,3616.5,0,1,kaggle
0,10,5,13,3,12690.0,22957.5,0,0,0,18,13,5,11,20535.0,26880.0,0,1,0,15,-8,-2615,-3922.5,0,-1,kaggle
0,10,7,7,8,14422.0,24601.5,0,0,0,19,7,7,5,20359.0,27570.0,0,1,0,17,0,-1979,-2968.5,0,-1,kaggle
1,10,4,5,5,13509.0,22585.5,0,1,0,14,5,4,4,18153.0,24907.5,0,0,0,18,-1,-1548,-2322.0,0,1,kaggle
0,10,4,4,6,15805.0,23211.0,0,0,0,23,4,4,5,14812.0,22714.5,0,1,0,17,0,331,496.5,0,-1,kaggle
0,10,11,11,7,15190.0,25042.5,0,0,0,35,11,11,9,19705.0,27300.0,0,0,0,18,0,-1505,-2257.5,0,0,kaggle
1,10,7,1,11,21139.0,26797.5,0,1,0,19,1,7,1,11317.0,21886.5,0,0,0,13,6,3274,4911.0,0,1,kaggle
0,10,4,9,1,11565.0,22468.5,0,0,0,17,9,4,11,21807.0,27589.5,0,0,0,23,-5,-3414,-5121.0,0,0,kaggle
1,10,4,4,4,15252.0,23583.0,0,0,0,18,4,4,3,16662.0,24288.0,0,0,0,103,0,-470,-705.0,0,0,kaggle
0,10,3,7,3,13019.0,22522.5,0,0,0,18,7,3,13,19007.0,25516.5,0,0,0,21,-4,-1996,-2994.0,0,0,kaggle
1,10,10,2,8,24961.0,29599.5,0,0,0,15,2,10,2,9277.0,21757.5,0,1,0,15,8,5228,7842.0,0,-1,kaggle
0,10,3,7,3,12877.0,22278.0,0,0,0,46,7,3,6,18802.0,25240.5,0,0,0,31,-4,-1975,-2962.5,0,0,kaggle
1,10,5,4,11,17164.0,24423.0,0,0,0,25,4,5,3,14518.0,23100.0,0,1,0,22,1,882,1323.0,0,-1,kaggle
0,10,5,9,5,11839.0,22491.0,0,0,0,14,9,5,9,21304.0,27223.5,0,0,0,16,-4,-3155,-4732.5,0,0,kaggle
1,10,11,6,15,21132.0,27909.0,0,1,0,17,6,11,4,13554.0,24120.0,0,0,0,14,5,2526,3789.0,0,1,kaggle
0,10,4,13,5,13043.0,23817.0,0,0,0,14,13,4,14,21548.0,28069.5,0,1,0,18,-9,-2835,-4252.5,0,-1,kaggle
0,10,4,6,3,14519.0,23659.5,0,0,0,19,6,4,10,18281.0,25540.5,0,1,0,19,-2,-1254,-1881.0,0,-1,kaggle
0,10,4,3,4,16312.0,23859.0,0,1,0,82,3,4,3,15094.0,23250.0,0,0,0,18,1,406,609.0,0,1,kaggle
1,10,6,9,10,15495.0,24772.5,0,0,0,36,9,6,13,18555.0,26302.5,0,0,0,21,-3,-1020,-1530.0,0,0,kaggle
0,10,4,8,4,12943.0,23122.5,0,0,0,18,8,4,13,20359.0,26830.5,0,1,0,21,-4,-2472,-3708.0,0,-1,kaggle
1,10,8,6,9,18438.0,25767.0,0,1,0,19,6,8,3,14658.0,23877.0,0,0,0,13,2,1260,1890.0,0,1,kaggle
0,10,7,4,9,19083.0,25839.0,0,0,0,22,4,7,2,13512.0,23053.5,0,1,0,18,3,1857,2785.5,0,-1,kaggle
0,10,8,6,13,18794.0,26211.0,0,1,0,110,6,8,11,14834.0,24231.0,0,0,0,68,2,1320,1980.0,0,1,kaggle
0,10,3,8,2,11623.0,22357.5,0,1,0,23,8,3,12,21469.0,27280.5,0,0,0,21,-5,-3282,-4923.0,0,1,kaggle
1,10,9,4,10,21015.0,27198.0,0,1,0,29,4,9,2,12366.0,22873.5,0,0,0,25,5,2883,4324.5,0,1,kaggle
1,10,5,2,6,17756.0,24079.5,0,1,0,21,2,5,2,12647.0,21525.0,0,0,0,17,3,1703,2554.5,0,1,kaggle
0,10,6,4,7,17046.0,24657.0,0,0,0,15,4,6,4,15222.0,23745.0,0,1,0,21,2,608,912.0,0,-1,kaggle
0,10,5,4,4,15705.0,23451.0,0,0,0,17,4,5,4,15492.0,23344.5,0,1,0,15,1,71,106.5,0,-1,kaggle
1,10,6,4,4,16360.0,24127.5,0,0,0,42,4,6,5,15535.0,23715.0,0,1,0,16,2,275,412.5,0,-1,kaggle
0,10,3,4,6,14172.0,22471.5,0,0,0,27,4,3,7,16599.0,23685.0,0,1,0,19,-1,-809,-1213.5,0,-1,kaggle
0,10,2,8,2,12650.0,23131.5,0,1,0,16,8,2,5,20963.0,27288.0,0,0,0,16,-6,-2771,-4156.5,0,1,kaggle
0,10,5,6,4,13935.0,23497.5,0,0,0,22,6,5,6,19125.0,26092.5,0,1,0,44,-1,-1730,-2595.0,0,-1,kaggle
0,10,7,9,5,16624.0,26292.0,0,0,0,14,9,7,9,19336.0,27648.0,0,1,0,19,-2,-904,-1356.0,0,-1,kaggle
0,10,3,6,3,13349.0,22548.0,0,0,0,20,6,3,6,18398.0,25072.5,0,1,0,39,-3,-1683,-2524.5,0,-1,kaggle
0,10,4,11,3,12458.0,23224.5,0,0,0,31,11,4,16,21533.0,27762.0,0,1,0,41,-7,-3025,-4537.5,0,-1,kaggle
1,10,10,6,12,22230.0,28839.0,0,0,0,37,6,10,7,13218.0,24333.0,0,0,0,18,4,3004,4506.0,0,0,kaggle
1,10,9,6,14,18519.0,25417.5,0,1,0,21,6,9,6,13797.0,23056.5,0,0,0,19,3,1574,2361.0,0,1,kaggle
1,10,5,5,3,13964.0,22500.0,0,0,0,14,5,5,4,17072.0,24054.0,0,0,0,20,0,-1036,-1554.0,0,0,kaggle
0,10,3,4,2,15904.0,23832.0,0,0,0,22,4,3,2,15856.0,23808.0,0,1,0,43,-1,16,24.0,0,-1,kaggle
0,10,1,10,0,6539.0,19387.5,0,0,0,41,10,1,6,25697.0,28966.5,1,0,0,13,-9,-6386,-9579.0,-1,0,kaggle
1,10,11,2,9,24346.0,28875.0,0,0,0,18,2,11,2,9058.0,21231.0,0,0,0,18,9,5096,7644.0,0,0,kaggle
1,10,8,4,5,21111.0,27532.5,1,1,0,20,4,8,5,12843.0,23398.5,0,0,0,18,4,2756,4134.0,1,1,kaggle
1,10,2,3,2,13001.0,20967.0,0,0,0,17,3,2,1,15932.0,22432.5,0,0,0,16,-1,-977,-1465.5,0,0,kaggle
0,10,5,5,8,15043.0,23776.5,0,0,0,17,5,5,6,17467.0,24988.5,0,0,0,44,0,-808,-1212.0,0,0,kaggle
0,10,7,9,5,14915.0,24711.0,0,0,0,14,9,7,13,19592.0,27049.5,0,1,0,26,-2,-1559,-2338.5,0,-1,kaggle
1,10,6,8,6,17134.0,24885.0,0,0,0,18,8,6,7,15502.0,24069.0,0,0,0,13,-2,544,816.0,0,0,kaggle
1,10,5,2,2,17118.0,23605.5,0,1,0,26,2,5,1,12975.0,21534.0,0,0,0,19,3,1381,2071.5,0,1,kaggle
1,10,5,3,5,19021.0,25485.0,0,0,0,39,3,5,5,12928.0,22438.5,0,1,0,16,2,2031,3046.5,0,-1,kaggle
0,10,3,3,2,15428.0,22945.5,0,1,0,18,3,3,1,15035.0,22749.0,0,0,0,22,0,131,196.5,0,1,kaggle
0,10,4,10,4,12952.0,23476.5,0,0,0,18,10,4,11,21049.0,27525.0,0,1,0,32,-6,-2699,-4048.5,0,-1,kaggle
0,10,5,7,7,13915.0,23380.5,0,1,0,17,7,5,6,18931.0,25888.5,0,0,0,14,-2,-1672,-2508.0,0,1,kaggle
1,10,10,6,11,18978.0,26665.5,0,1,0,22,6,10,5,15375.0,24864.0,0,0,0,22,4,1201,1801.5,0,1,kaggle
1,10,7,5,5,16318.0,24639.0,0,1,0,32,5,7,4,16642.0,24801.0,0,0,0,18,2,-108,-162.0,0,1,kaggle
0,10,10,7,11,24911.0,30417.0,1,0,0,12,7,10,6,11012.0,23467.5,0,1,0,21,3,4633,6949.5,1,-1,kaggle
0,10,2,7,0,11529.0,20686.5,0,0,0,22,7,2,4,18315.0,24079.5,0,1,0,21,-5,-2262,-3393.0,0,-1,kaggle
0,10,6,7,5,16456.0,24757.5,0,0,0,27,7,6,10,16603.0,24831.0,0,1,0,19,-1,-49,-73.5,0,-1,kaggle
1,10,6,4,4,18964.0,25915.5,0,1,0,20,4,6,5,13903.0,23385.0,0,0,0,39,2,1687,2530.5,0,1,kaggle
1,10,9,1,10,22202.0,27403.5,0,1,0,125,1,9,1,10403.0,21504.0,0,0,0,17,8,3933,5899.5,0,1,kaggle
0,10,4,10,3,10105.0,21249.0,0,1,0,16,10,4,6,22288.0,27340.5,0,0,0,18,-6,-4061,-6091.5,0,1,kaggle
0,10,6,12,7,10536.0,23184.0,0,0,0,54,12,6,11,25296.0,30564.0,1,0,0,16,-6,-4920,-7380.0,-1,0,kaggle
0,10,4,5,2,13475.0,22770.0,0,0,0,21,5,4,1,18590.0,25327.5,0,0,0,15,-1,-1705,-2557.5,0,0,kaggle
0,10,7,8,8,16284.0,24268.5,0,1,0,36,8,7,5,15969.0,24111.0,0,0,0,29,-1,105,157.5,0,1,kaggle
1,10,3,5,3,15472.0,24039.0,0,0,0,14,5,3,6,17134.0,24870.0,0,1,0,12,-2,-554,-831.0,0,-1,kaggle
0,10,4,5,4,13813.0,22275.0,0,0,0,24,5,4,5,16924.0,23830.5,0,1,0,22,-1,-1037,-1555.5,0,-1,kaggle
0,10,9,8,7,16203.0,26020.5,0,0,0,18,8,9,11,19635.0,27736.5,1,1,0,18,1,-1144,-1716.0,-1,-1,kaggle
1,10,5,4,6,17060.0,23830.5,0,0,0,36,4,5,3,13541.0,22071.0,0,1,0,13,1,1173,1759.5,0,-1,kaggle
0,10,8,2,11,20593.0,26098.5,0,0,0,20,2,8,2,11011.0,21307.5,0,1,0,16,6,3194,4791.0,0,-1,kaggle
0,10,2,7,1,11206.0,20742.0,0,1,0,16,7,2,7,19072.0,24675.0,0,0,0,12,-5,-2622,-3933.0,0,1,kaggle
1,10,6,4,4,17796.0,24967.5,0,1,0,18,4,6,3,14343.0,23241.0,0,0,0,17,2,1151,1726.5,0,1,kaggle
1,10,6,4,8,17711.0,24372.0,0,1,0,54,4,6,8,13322.0,22177.5,0,0,0,50,2,1463,2194.5,0,1,kaggle
0,10,4,6,1,14272.0,22965.0,0,0,0,16,6,4,5,17386.0,24522.0,0,1,0,17,-2,-1038,-1557.0,0,-1,kaggle
1,10,8,4,7,18208.0,25176.0,0,0,0,19,4,8,5,13936.0,23040.0,0,0,0,17,4,1424,2136.0,0,0,kaggle
1,10,13,9,18,19559.0,28548.0,0,1,0,19,9,13,5,17978.0,27757.5,0,0,0,16,4,527,790.5,0,1,kaggle
0,10,7,6,12,19325.0,26277.0,0,0,0,22,6,7,9,13904.0,23566.5,0,1,0,56,1,1807,2710.5,0,-1,kaggle
0,10,11,4,12,21832.0,28464.0,0,0,0,49,4,11,6,13264.0,24180.0,0,1,0,16,7,2856,4284.0,0,-1,kaggle
0,10,6,6,10,15179.0,24214.5,0,1,0,13,6,6,3,18071.0,25660.5,0,0,0,14,0,-964,-1446.0,0,1,kaggle
0,10,7,8,6,15690.0,23802.0,0,0,0,22,8,7,6,16224.0,24069.0,0,1,0,49,-1,-178,-267.0,0,-1,kaggle
1,10,9,8,7,18682.0,26965.5,0,1,0,21,8,9,8,16567.0,25908.0,0,0,0,16,1,705,1057.5,0,1,kaggle
1,10,10,10,14,19046.0,27207.0,0,1,0,16,10,10,16,16322.0,25845.0,0,0,0,16,0,908,1362.0,0,1,kaggle
1,10,7,2,12,21583.0,27037.5,0,1,0,16,2,7,3,10909.0,21700.5,0,0,0,25,5,3558,5337.0,0,1,kaggle
0,10,1,6,0,13326.0,21937.5,0,0,0,18,6,1,3,17223.0,23886.0,0,1,0,54,-5,-1299,-1948.5,0,-1,kaggle
1,10,5,8,7,13989.0,23628.0,0,1,0,20,8,5,6,19278.0,26272.5,0,0,0,21,-3,-1763,-2644.5,0,1,kaggle
1,10,10,4,12,21027.0,27720.0,0,0,0,15,4,10,4,13386.0,23899.5,0,0,0,13,6,2547,3820.5,0,0,kaggle
0,10,3,10,2,11310.0,22492.5,0,1,0,16,10,3,13,22365.0,28020.0,0,0,0,23,-7,-3685,-5527.5,0,1,kaggle
0,10,7,11,3,11966.0,23482.5,0,0,0,96,11,7,7,23033.0,29016.0,0,1,0,37,-4,-3689,-5533.5,0,-1,kaggle
0,10,3,5,2,14798.0,23343.0,0,0,0,21,5,3,6,17090.0,24489.0,0,1,0,37,-2,-764,-1146.0,0,-1,kaggle
1,10,9,2,5,20176.0,25708.5,0,0,0,19,2,9,2,11065.0,21153.0,0,1,0,16,7,3037,4555.5,0,-1,kaggle
1,10,7,7,6,22774.0,28843.5,1,0,0,18,7,7,10,12139.0,23526.0,0,1,0,22,0,3545,5317.5,1,-1,kaggle
0,10,7,7,10,15941.0,25458.0,0,1,0,16,7,7,7,19034.0,27004.5,0,0,0,20,0,-1031,-1546.5,0,1,kaggle
0,10,5,10,6,14453.0,24373.5,0,0,0,18,10,5,15,19841.0,27067.5,0,1,0,18,-5,-1796,-2694.0,0,-1,kaggle
1,10,5,4,9,18041.0,24622.5,0,0,0,22,4,5,5,13163.0,22183.5,0,1,0,19,1,1626,2439.0,0,-1,kaggle
1,10,6,8,10,18844.0,27018.0,0,0,0,41,8,6,11,16348.0,25770.0,0,1,0,13,-2,832,1248.0,0,-1,kaggle
1,10,11,6,11,22044.0,28941.0,0,1,0,16,6,11,9,13794.0,24816.0,0,0,0,16,5,2750,4125.0,0,1,kaggle
0,10,5,8,4,13859.0,23074.5,0,0,0,17,8,5,11,18431.0,25360.5,0,0,0,14,-3,-1524,-2286.0,0,0,kaggle
0,10,6,8,2,14407.0,23665.5,0,1,0,20,8,6,9,18517.0,25720.5,0,0,0,22,-2,-1370,-2055.0,0,1,kaggle
0,10,4,6,4,13299.0,22207.5,0,0,0,17,6,4,7,17817.0,24466.5,0,1,0,20,-2,-1506,-2259.0,0,-1,kaggle
0,10,6,7,2,14143.0,22866.0,0,0,0,18,7,6,5,17446.0,24517.5,0,1,0,21,-1,-1101,-1651.5,0,-1,kaggle
0,10,8,3,7,20348.0,26361.0,0,0,0,22,3,8,2,12026.0,22200.0,0,1,0,19,5,2774,4161.0,0,-1,kaggle
0,10,8,11,9,14849.0,24982.5,0,0,0,24,11,8,13,20267.0,27691.5,0,1,0,16,-3,-1806,-2709.0,0,-1,kaggle
0,10,6,4,8,18120.0,25282.5,0,1,0,17,4,6,4,14325.0,23385.0,0,0,0,21,2,1265,1897.5,0,1,kaggle
1,10,6,14,4,11343.0,23679.0,0,0,0,20,14,6,9,24672.0,30343.5,0,1,0,19,-8,-4443,-6664.5,0,-1,kaggle
0,10,3,5,1,14216.0,22714.5,0,0,0,22,5,3,7,16997.0,24105.0,0,1,0,20,-2,-927,-1390.5,0,-1,kaggle
1,10,9,5,9,18734.0,25963.5,0,0,0,15,5,9,3,14459.0,23826.0,0,1,0,16,4,1425,2137.5,0,-1,kaggle
1,10,6,4,6,17593.0,24624.0,0,1,0,17,4,6,2,14062.0,22858.5,0,0,0,14,2,1177,1765.5,0,1,kaggle
1,10,2,7,2,13636.0,22833.0,0,1,0,21,7,2,14,18394.0,25212.0,0,0,0,22,-5,-1586,-2379.0,0,1,kaggle
0,10,5,10,3,12630.0,23289.0,0,1,0,18,10,5,6,21318.0,27633.0,0,0,0,17,-5,-2896,-4344.0,0,1,kaggle
1,10,12,9,10,18502.0,26395.5,0,0,0,19,9,12,9,15787.0,25038.0,0,0,0,15,3,905,1357.5,0,0,kaggle
0,10,9,17,17,12947.0,25251.0,0,0,0,18,17,9,21,24608.0,31081.5,0,0,0,32,-8,-3887,-5830.5,0,0,kaggle
1,10,12,6,12,22471.0,28587.0,0,1,0,34,6,12,7,12232.0,23467.5,0,0,0,18,6,3413,5119.5,0,1,kaggle
0,10,7,9,5,16550.0,25209.0,0,1,0,18,9,7,7,17318.0,25593.0,0,0,0,36,-2,-256,-384.0,0,1,kaggle
1,10,7,10,7,14823.0,24964.5,0,0,0,24,10,7,11,20283.0,27694.5,0,0,0,24,-3,-1820,-2730.0,0,0,kaggle
1,10,6,4,12,16814.0,24283.5,0,1,0,15,4,6,4,14939.0,23346.0,0,0,0,103,2,625,937.5,0,1,kaggle
0,10,2,6,1,10467.0,21142.5,0,0,0,14,6,2,4,21351.0,26584.5,0,1,0,16,-4,-3628,-5442.0,0,-1,kaggle
0,10,5,5,7,17573.0,25206.0,0,0,0,36,5,5,6,15266.0,24052.5,0,1,0,20,0,769,1153.5,0,-1,kaggle
0,10,8,8,8,16729.0,25957.5,0,1,0,23,8,8,6,18457.0,26821.5,0,0,0,21,0,-576,-864.0,0,1,kaggle
0,10,3,9,2,10639.0,21808.5,0,0,0,30,9,3,8,22339.0,27658.5,0,1,0,44,-6,-3900,-5850.0,0,-1,kaggle
1,10,9,8,10,17523.0,26295.0,0,1,0,16,8,9,8,17544.0,26305.5,0,0,0,21,1,-7,-10.5,0,1,kaggle
1,10,10,7,10,20114.0,27646.5,0,0,0,19,7,10,5,15065.0,25122.0,0,1,0,17,3,1683,2524.5,0,-1,kaggle
0,10,3,10,2,9250.0,21048.0,0,0,0,20,10,3,11,23596.0,28221.0,0,1,0,25,-7,-4782,-7173.0,0,-1,kaggle
1,10,9,7,11,18505.0,26803.5,0,1,0,41,7,9,9,16597.0,25849.5,0,0,0,15,2,636,954.0,0,1,kaggle
1,10,7,14,6,12553.0,23961.0,0,1,0,41,14,7,12,22816.0,29092.5,0,0,0,17,-7,-3421,-5131.5,0,1,kaggle
1,10,5,3,6,17084.0,24162.0,0,1,0,23,3,5,5,14156.0,22698.0,0,0,0,42,2,976,1464.0,0,1,kaggle
0,10,6,7,6,16091.0,24453.0,0,0,0,43,7,6,7,16724.0,24769.5,0,0,0,21,-1,-211,-316.5,0,0,kaggle
1,10,7,5,6,17971.0,25125.0,0,0,0,23,5,7,5,14308.0,23293.5,0,0,0,38,2,1221,1831.5,0,0,kaggle
1,10,7,1,8,18543.0,24759.0,0,0,0,22,1,7,0,12432.0,21703.5,0,1,0,38,6,2037,3055.5,0,-1,kaggle
1,10,6,3,11,17206.0,24583.5,0,1,0,20,3,6,3,14755.0,23358.0,0,0,0,40,3,817,1225.5,0,1,kaggle
1,10,4,4,4,15623.0,23640.0,0,0,0,20,4,4,1,16034.0,23845.5,0,1,0,16,0,-137,-205.5,0,-1,kaggle
1,10,4,7,4,13637.0,22764.0,0,1,0,49,7,4,12,18254.0,25072.5,0,0,0,32,-3,-1539,-2308.5,0,1,kaggle
0,10,5,7,4,13489.0,22794.0,0,0,0,18,7,5,10,18610.0,25354.5,0,1,0,65,-2,-1707,-2560.5,0,-1,kaggle
1,10,6,9,2,15694.0,24375.0,0,1,0,14,9,6,13,17362.0,25209.0,0,0,0,18,-3,-556,-834.0,0,1,kaggle
1,10,9,7,15,16395.0,24811.5,0,1,0,21,7,9,8,16833.0,25030.5,0,0,0,15,2,-146,-219.0,0,1,kaggle
1,10,12,4,9,22740.0,27985.5,0,0,0,16,4,12,1,10491.0,21861.0,0,1,0,17,8,4083,6124.5,0,-1,kaggle
1,10,5,5,6,18262.0,25309.5,0,0,0,18,5,5,7,14095.0,23226.0,0,1,0,40,0,1389,2083.5,0,-1,kaggle
0,10,3,4,3,13493.0,21574.5,0,1,0,32,4,3,5,16163.0,22909.5,0,0,0,18,-1,-890,-1335.0,0,1,kaggle
0,10,4,9,5,11901.0,21630.0,0,0,0,15,9,4,15,19458.0,25408.5,0,0,0,21,-5,-2519,-3778.5,0,0,kaggle
0,10,4,15,4,10280.0,22080.0,0,0,0,88,15,4,14,23600.0,28740.0,0,0,0,11,-11,-4440,-6660.0,0,0,kaggle
1,10,7,6,7,18546.0,26109.0,0,0,0,18,6,7,4,15126.0,24399.0,0,1,0,18,1,1140,1710.0,0,-1,kaggle
0,10,5,7,2,13554.0,22815.0,0,0,0,19,7,5,3,18522.0,25299.0,0,0,0,18,-2,-1656,-2484.0,0,0,kaggle
1,10,10,5,16,19443.0,25908.0,0,0,0,26,5,10,6,12930.0,22651.5,0,1,0,39,5,2171,3256.5,0,-1,kaggle
1,10,12,4,15,23199.0,29037.0,0,0,0,19,4,12,3,11676.0,23275.5,0,0,0,16,8,3841,5761.5,0,0,kaggle
1,10,4,11,5,15970.0,25282.5,1,0,0,19,11,4,15,18625.0,26610.0,0,1,0,38,-7,-885,-1327.5,1,-1,kaggle
0,10,3,8,4,12457.0,22813.5,0,1,0,18,8,3,9,20713.0,26941.5,0,0,0,21,-5,-2752,-4128.0,0,1,kaggle
1,10,13,9,22,21623.0,29313.0,0,0,0,20,9,13,11,15380.0,26191.5,0,0,0,21,4,2081,3121.5,0,0,kaggle
0,10,4,3,4,15720.0,22900.5,0,0,0,20,3,4,3,14361.0,22221.0,0,0,0,18,1,453,679.5,0,0,kaggle
0,10,3,1,3,16073.0,22864.5,0,1,0,17,1,3,1,13583.0,21619.5,0,0,0,44,2,830,1245.0,0,1,kaggle
0,10,8,8,3,16308.0,24321.0,0,0,0,23,8,8,6,16026.0,24180.0,0,0,0,21,0,94,141.0,0,0,kaggle
0,10,8,6,12,15254.0,23964.0,0,1,0,72,6,8,6,17420.0,25047.0,0,0,0,14,2,-722,-1083.0,0,1,kaggle
0,10,6,7,10,15066.0,24835.5,0,0,0,19,7,6,11,19539.0,27072.0,0,1,0,43,-1,-1491,-2236.5,0,-1,kaggle
0,10,6,14,3,13033.0,24213.0,0,0,0,11,14,6,16,22360.0,28876.5,0,1,0,14,-8,-3109,-4663.5,0,-1,kaggle
0,10,7,11,9,18521.0,26976.0,0,0,0,19,11,7,11,16910.0,26170.5,0,1,0,20,-4,537,805.5,0,-1,kaggle
1,10,13,5,10,24117.0,30057.0,0,1,0,24,5,13,6,11880.0,23938.5,0,0,0,40,8,4079,6118.5,0,1,kaggle
1,10,10,5,13,23577.0,29356.5,1,0,0,94,5,10,6,11559.0,23347.5,0,0,0,18,5,4006,6009.0,1,0,kaggle
0,10,3,10,4,10975.0,21835.5,0,0,0,20,10,3,10,21721.0,27208.5,0,1,0,16,-7,-3582,-5373.0,0,-1,kaggle
1,10,6,6,5,15674.0,24043.5,0,0,0,20,6,6,5,16739.0,24576.0,0,1,0,22,0,-355,-532.5,0,-1,kaggle
1,10,7,6,8,21517.0,27079.5,1,0,0,29,6,7,6,11125.0,21883.5,0,0,0,42,1,3464,5196.0,1,0,kaggle
1,10,9,5,9,20315.0,27147.0,0,1,0,18,5,9,3,13664.0,23821.5,0,0,0,13,4,2217,3325.5,0,1,kaggle
1,10,8,3,9,21392.0,27514.5,0,1,0,14,3,8,2,12245.0,22941.0,0,0,0,16,5,3049,4573.5,0,1,kaggle
1,10,5,6,4,15291.0,23394.0,0,1,0,15,6,5,7,16206.0,23851.5,0,0,0,27,-1,-305,-457.5,0,1,kaggle
0,10,4,2,6,17137.0,23718.0,0,1,0,57,2,4,1,13162.0,21730.5,0,0,0,18,2,1325,1987.5,0,1,kaggle
1,10,6,6,10,15894.0,23920.5,0,0,0,19,6,6,9,16053.0,24000.0,0,1,0,18,0,-53,-79.5,0,-1,kaggle
